# Matter power spectrum P(k) at redshift z=45
# for k=1.02901e-05 to 20.064 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.191973659575e-01       3.395016155403e-01 
       4.289617269668e-01       3.234167118845e-01 
       4.389535291618e-01       3.085516953666e-01 
       4.491780703282e-01       2.944880035485e-01 
       4.596407716530e-01       2.807146480953e-01 
       4.703471805991e-01       2.671742926384e-01 
       4.813029738460e-01       2.540757579199e-01 
       4.925139603005e-01       2.417585499195e-01 
       5.039860841760e-01       2.302704322265e-01 
       5.157254281443e-01       2.193513248441e-01 
       5.277382165610e-01       2.087955266848e-01 
       5.400308187657e-01       1.985708820832e-01 
       5.526097524585e-01       1.888346902045e-01 
       5.654816871568e-01       1.796173190706e-01 
       5.786534477307e-01       1.708896015817e-01 
       5.921320180219e-01       1.625306709779e-01 
       6.059245445469e-01       1.545136046738e-01 
       6.200383402857e-01       1.468581608554e-01 
       6.344808885598e-01       1.395934486764e-01 
       6.492598469993e-01       1.326894201664e-01 
       6.643830516036e-01       1.260881301643e-01 
       6.798585208961e-01       1.197943279787e-01 
       6.956944601753e-01       1.137997187257e-01 
       7.118992658660e-01       1.080997887570e-01 
       7.284815299705e-01       1.026736476825e-01 
       7.454500446247e-01       9.749834175844e-02 
       7.628138067599e-01       9.257422453800e-02 
       7.805820228724e-01       8.789235646612e-02 
       7.987641139056e-01       8.343365999790e-02 
       8.173697202450e-01       7.918869295289e-02 
       8.364087068292e-01       7.515270100464e-02 
       8.558911683809e-01       7.131520033544e-02 
       8.758274347592e-01       6.766327710165e-02 
       8.962280764363e-01       6.418997976008e-02 
       9.171039101025e-01       6.088879966774e-02 
       9.384660044012e-01       5.775137932024e-02 
       9.603256857974e-01       5.476952713590e-02 
       9.826945445837e-01       5.193574789240e-02 
       1.005584441025e+00       4.924274221982e-02 
       1.029007511647e+00       4.668411168345e-02 
       1.052976175673e+00       4.425325946661e-02 
       1.077503141605e+00       4.194425881154e-02 
       1.102601413965e+00       3.975142043130e-02 
       1.128284300189e+00       3.766922022291e-02 
       1.154565417684e+00       3.569243239658e-02 
       1.181458701046e+00       3.381592271432e-02 
       1.208978409449e+00       3.203483433768e-02 
       1.237139134208e+00       3.034454019180e-02 
       1.265955806511e+00       2.874023161487e-02 
       1.295443705340e+00       2.721777307649e-02 
       1.325618465569e+00       2.577369457698e-02 
       1.356496086254e+00       2.440387299077e-02 
       1.388092939120e+00       2.310451009529e-02 
       1.420425777236e+00       2.187208933516e-02 
       1.453511743901e+00       2.070373792784e-02 
       1.487368381732e+00       1.959602774629e-02 
       1.522013641966e+00       1.854554472498e-02 
       1.557465893979e+00       1.754999938378e-02 
       1.593743935025e+00       1.660612150682e-02 
       1.630867000201e+00       1.571169759990e-02 
       1.668854772648e+00       1.486416036761e-02 
       1.707727393985e+00       1.406108267393e-02 
       1.747505474991e+00       1.330013050467e-02 
       1.788210106530e+00       1.257939212805e-02 
       1.829862870738e+00       1.189653151811e-02 
       1.872485852461e+00       1.124987776122e-02 
       1.916101650968e+00       1.063755909045e-02 
       1.960733391933e+00       1.005761964435e-02 
       2.006404739696e+00       9.508512639301e-03 
       2.053139909810e+00       8.988662464723e-03 
       2.100963681881e+00       8.496556516754e-03 
       2.149901412705e+00       8.030762550133e-03 
       2.199979049715e+00       7.589898404995e-03 
       2.251223144738e+00       7.172680397985e-03 
       2.303660868071e+00       6.777835457423e-03 
       2.357320022888e+00       6.404240645756e-03 
       2.412229059985e+00       6.050808602218e-03 
       2.468417092858e+00       5.716437419934e-03 
       2.525913913148e+00       5.400121703695e-03 
       2.584750006429e+00       5.100912916266e-03 
       2.644956568376e+00       4.817971715116e-03 
       2.706565521306e+00       4.550385994007e-03 
       2.769609531101e+00       4.297353215524e-03 
       2.834122024530e+00       4.058086885331e-03 
       2.900137206970e+00       3.831892620498e-03 
       2.967690080545e+00       3.618035923875e-03 
       3.036816462683e+00       3.415882463200e-03 
       3.107553005106e+00       3.224810397569e-03 
       3.179937213266e+00       3.044224400149e-03 
       3.254007466228e+00       2.873531676217e-03 
       3.329803037021e+00       2.712247590128e-03 
       3.407364113458e+00       2.559843574091e-03 
       3.486731819451e+00       2.415840020373e-03 
       3.567948236806e+00       2.279788895892e-03 
       3.651056427545e+00       2.151264568417e-03 
       3.736100456728e+00       2.029843814540e-03 
       3.823125415827e+00       1.915172546644e-03 
       3.912177446626e+00       1.806876396824e-03 
       4.003303765691e+00       1.704579244683e-03 
       4.096552689403e+00       1.607981066111e-03 
       4.191973659575e+00       1.516756089455e-03 
       4.289617269668e+00       1.430644232532e-03 
       4.389535291618e+00       1.349335123176e-03 
       4.491780703282e+00       1.272557147459e-03 
       4.596407716530e+00       1.200084443630e-03 
       4.703471805991e+00       1.131672945791e-03 
       4.813029738460e+00       1.067097047005e-03 
       4.925139603005e+00       1.006159879354e-03 
       5.039860841760e+00       9.486378157145e-04 
       5.157254281443e+00       8.943539891467e-04 
       5.277382165610e+00       8.431399139423e-04 
       5.400308187657e+00       7.948017652654e-04 
       5.526097524585e+00       7.492005723168e-04 
       5.654816871568e+00       7.061760288385e-04 
       5.786534477307e+00       6.655921895278e-04 
       5.921320180219e+00       6.273007308442e-04 
       6.059245445469e+00       5.911808899228e-04 
       6.200383402857e+00       5.571129925921e-04 
       6.344808885598e+00       5.249823296249e-04 
       6.492598469993e+00       4.946781293667e-04 
       6.643830516036e+00       4.661002397990e-04 
       6.798585208961e+00       4.391512246345e-04 
       6.956944601753e+00       4.137386081577e-04 
       7.118992658660e+00       3.897786751414e-04 
       7.284815299705e+00       3.671876036362e-04 
       7.454500446247e+00       3.458895715615e-04 
       7.628138067599e+00       3.258101501143e-04 
       7.805820228724e+00       3.068825860060e-04 
       7.987641139056e+00       2.890410302654e-04 
       8.173697202450e+00       2.722227590985e-04 
       8.364087068292e+00       2.563723353407e-04 
       8.558911683809e+00       2.414327715099e-04 
       8.758274347592e+00       2.273535687019e-04 
       8.962280764363e+00       2.140855187495e-04 
       9.171039101025e+00       2.015833189194e-04 
       9.384660044012e+00       1.898019883380e-04 
       9.603256857974e+00       1.787018950586e-04 
       9.826945445837e+00       1.682437156030e-04 
       1.005584441025e+01       1.583896789534e-04 
       1.029007511647e+01       1.491068855304e-04 
       1.052976175673e+01       1.403621622572e-04 
       1.077503141605e+01       1.321243466833e-04 
       1.102601413965e+01       1.243642109339e-04 
       1.128284300189e+01       1.170555857566e-04 
       1.154565417684e+01       1.101716066695e-04 
       1.181458701046e+01       1.036880267814e-04 
       1.208978409449e+01       9.758268176242e-05 
       1.237139134208e+01       9.183275565529e-05 
       1.265955806511e+01       8.641822083317e-05 
       1.295443705340e+01       8.131933064836e-05 
       1.325618465569e+01       7.651838186710e-05 
       1.356496086254e+01       7.199820143460e-05 
       1.388092939120e+01       6.774211085594e-05 
       1.420425777236e+01       6.373540296260e-05 
